9.4176,1
10.52093,1
11.79053,1
4.617759,1
4.92152,0
0.0454005,1
1.502875,0
0,1
1.53239,0
3.055789,0
4.55968,1
5,0
3.003425E-08,1
8.197554,1
14.31022,1
20,1
20,1
0,1
1.51844,0
3.03185,0
0.002934029,1
1.587103,0
2.992103,0
4.652134,1
5,0
4.92152,0
7.450581E-09,1
1.549401,0
3.091421,0
4.597981,1
0,1
1.545462,0
2.997532,0
7.450581E-09,1
1.553545,0
0.005010037,1
1.531551,0
3.050599,0
4.495426,1
5,0
5,0
5,0
4.92152,0
0.0469755,1
1.554495,0
3.06795,0
4.541341,1
5,0
4.84304,1
0.002648185,1
1.578189,0
3.097617,0
4.602035,1
1.490116E-08,1
1.541027,0
1.380381,0
0.043815,1
1.574393,0
3.103016,0
4.505966,1
5,0
5,0
4.92152,0
0.0409845,1
1.581962,0
3.090365,0
4.453465,1
1.749796E-08,1
1.548711,0
6.746788E-08,1
1.540155,0
2.939636,0
4.643048,1
5,0
4.190952E-09,1
1.535042,0
0,1
1.510622,0
3.05334,0
4.41771,1
5,0
4.92152,0
5,0
5,0
4.84304,1
0,1
1.515404,0
7.450581E-09,1
1.447203,0
2.758217,0
1.490116E-08,1
0.0495975,1
0,1
1.597974,0
3.143749,0
1.490116E-08,1
1.557687,0
3.083827,0
4.615243,1
5,0
5,0
5.683597,1
4.945137,1
4.791547,1
1.185896E-09,1
1.594136,0
3.114991,0
4.712981,1
5,0
5,0
4.902293,1
1.117587E-08,1
1.5429,0
3.060927,0
4.55648,1
5,0
5,0
5.000009,0
5.010062,0
5.158806,0
5.911561E-08,1
1.452867,0
3.095722,0
4.604663,1
5,0
3.690513,1
1.490116E-08,1
1.519095,0
3.167444,0
4.704465,1
5,0
5,0
5,0
5,0
5,0
3.830115E-09,1
7.393506E-09,1
7.450581E-09,1
1.616635,0
3.132996,0
4.654464,1
4.902293,1
5,0
1.490116E-08,1
1.448301,0
2.962492,0
4.601393,1
5,0
0.402081,1
1.906905,0
3.327319,1
1.255737E-08,1
